Disease,Drug
Fungal Infection Prophylaxis,itraconazole
Fungal Infection Prophylaxis,amphotericin b
Fungal Infection Prophylaxis,micafungin
Fungal Infection Prophylaxis,gentian violet
"Onychomycosis, Fingernail",terbinafine
"Onychomycosis, Fingernail",fluconazole
"Onychomycosis, Fingernail",ciclopirox
"Onychomycosis, Fingernail",itraconazole
"Onychomycosis, Fingernail",ketoconazole
"Onychomycosis, Fingernail",griseofulvin
Tinea Cruris,betamethasone / clotrimazole
Tinea Cruris,ketoconazole
Tinea Cruris,clotrimazole
Tinea Cruris,econazole
Tinea Cruris,fluconazole
Tinea Cruris,terbinafine
Tinea Cruris,miconazole
Tinea Cruris,tolnaftate
Tinea Cruris,ciclopirox
Tinea Cruris,griseofulvin
Tinea Cruris,clioquinol
"Fungal Infection, Internal and Disseminated",fluconazole
"Fungal Infection, Internal and Disseminated",voriconazole
Onychomycosis,undecylenic acid
Tinea Capitis,terbinafine
Tinea Capitis,griseofulvin
Tinea Capitis,itraconazole
"Onychomycosis, Toenail",terbinafine
"Onychomycosis, Toenail",ciclopirox
"Onychomycosis, Toenail",fluconazole
"Onychomycosis, Toenail",ketoconazole
"Onychomycosis, Toenail",itraconazole
"Onychomycosis, Toenail",efinaconazole
"Onychomycosis, Toenail",griseofulvin
"Onychomycosis, Toenail",tavaborole
Fungal Meningitis,voriconazole
Fungal Peritonitis,fluconazole
Fungal Pneumonia,fluconazole
Fungal Pneumonia,voriconazole
Fusariosis,voriconazole
"Fusospirochetosis, Trench Mouth",penicillin v potassium
"Fusospirochetosis, Trench Mouth",penicillin g potassium
"Fusospirochetosis, Trench Mouth",procaine penicillin
"Fusospirochetosis, Trench Mouth",penicillin g sodium
Gallbladder Contraction,sincalide
Gallbladder Disease,ursodiol
Gallbladder Disease,chenodeoxycholic acid
Gastric Cancer,methotrexate
Gastric Cancer,ramucirumab
Gastric Cancer,trastuzumab
Gastric Cancer,pembrolizumab
Gastric Cancer,docetaxel
Gastric Cancer,tipiracil / trifluridine
Stomach Ulcer (Gastric Ulcer),omeprazole
Stomach Ulcer (Gastric Ulcer),pantoprazole
Stomach Ulcer (Gastric Ulcer),ranitidine
Stomach Ulcer (Gastric Ulcer),sucralfate
Stomach Ulcer (Gastric Ulcer),famotidine
Stomach Ulcer (Gastric Ulcer),lansoprazole
Stomach Ulcer (Gastric Ulcer),rabeprazole
Stomach Ulcer (Gastric Ulcer),omeprazole / sodium bicarbonate
Stomach Ulcer (Gastric Ulcer),misoprostol
Gastric Ulcer Maintenance Treatment,ranitidine
Gastric Ulcer Prophylaxis,esomeprazole
Gastrinoma,octreotide
Gastroenteritis,ondansetron
Gastroenteritis,doxycycline
Gastroenteritis,ceftriaxone
Gastroenteritis,ampicillin
Gastroenteritis,rotavirus vaccine
Gastrointestinal Candidiasis,nystatin
Gastrointestinal Decontamination,polyethylene glycol 3350 with electrolytes
Gastrointestinal Hemorrhage,ranitidine
Gastrointestinal Hemorrhage,omeprazole / sodium bicarbonate
Gastrointestinal Hemorrhage,vasopressin
Gastrointestinal Hemorrhage,aluminum hydroxide
Gastrointestinal Perforation,metronidazole
Gastrointestinal Perforation,ciprofloxacin
Gastrointestinal Stromal Tumor,imatinib
Gastrointestinal Stromal Tumor,sunitinib
Gastrointestinal Stromal Tumor,regorafenib
Gastrointestinal Stromal Tumor,avapritinib
Gastrointestinal Surgery,alvimopan
Gastrointestinal Surgery,lidocaine
Gastrointestinal Tract Examination,iohexol
Gastrointestinal Tract Examination,lidocaine
Gaucher Disease,imiglucerase
Gaucher Disease,miglustat
Gaucher Disease,velaglucerase alfa
Gaucher Disease,eliglustat
Gaucher Disease,taliglucerase alfa
Glioblastoma Multiforme,temozolomide
Glioblastoma Multiforme,bevacizumab
Glioblastoma Multiforme,hydroxyurea
Glioblastoma Multiforme,carmustine
Glioblastoma Multiforme,procarbazine
Giant Cell Tumor of Bone,denosumab
Tenosynovial Giant Cell Tumor,pexidartinib
Gender Dysphoria,spironolactone
Gender Dysphoria,estradiol
Gender Dysphoria,testosterone
Gender Dysphoria,progesterone
Gender Dysphoria,medroxyprogesterone
Gender Dysphoria,conjugated estrogens
Gestational Diabetes,insulin isophane
Gestational Diabetes,insulin regular
Gestational Diabetes,insulin isophane / insulin regular
Giant Cell Arteritis,prednisone
Giant Cell Arteritis,tocilizumab
Giant Cell Arteritis,infliximab
Giardiasis,metronidazole
Giardiasis,nitazoxanide
Giardiasis,tinidazole
Giardiasis,albendazole
Giardiasis,paromomycin
Gingivitis,chlorhexidine
Gingivitis,hydrocortisone
Gitelman Syndrome,indomethacin
Glanders,chloramphenicol
Infectious Mononucleosis,acyclovir
Glanzmann's Disease,coagulation factor viia
Glaucoma,acetazolamide
Glaucoma,brimonidine / timolol
Glaucoma,pilocarpine
Glaucoma,methazolamide
Glaucoma,nadolol
Glaucoma,apraclonidine
Glaucoma,carbachol
Glaucoma,mitomycin
Glaucoma,echothiophate iodide
"Glaucoma, Narrow Angle",pilocarpine
"Glaucoma, Open Angle",latanoprost
"Glaucoma, Open Angle",timolol
"Glaucoma, Open Angle",brimonidine
"Glaucoma, Open Angle",dorzolamide / timolol
"Glaucoma, Open Angle",dorzolamide
"Glaucoma, Open Angle",bimatoprost
"Glaucoma, Open Angle",travoprost
"Glaucoma, Open Angle",brinzolamide
"Glaucoma, Open Angle",tafluprost
"Glaucoma, Open Angle",brimonidine / brinzolamide
Glaucoma/Intraocular Hypertension,brimonidine / timolol
Glaucoma/Intraocular Hypertension,tafluprost
Glaucoma/Intraocular Hypertension,latanoprostene bunod
Malignant Glioma,carmustine
Malignant Glioma,bevacizumab
Glucagonoma,octreotide
Gnathostomiasis,albendazole
"Gold Poisoning, Severe",dimercaprol
Gonadotropin Inhibition,ganirelix
Gonadotropin Inhibition,ethinyl estradiol / levonorgestrel
Gonadotropin Inhibition,ethinyl estradiol / norgestimate
Gonadotropin Inhibition,ethinyl estradiol / norethindrone
Gonadotropin Inhibition,desogestrel / ethinyl estradiol
"Gonococcal Infection, Disseminated",ciprofloxacin
"Gonococcal Infection, Disseminated",cefixime
"Gonococcal Infection, Disseminated",levofloxacin
"Gonococcal Infection, Disseminated",ceftriaxone
"Gonococcal Infection, Disseminated",cefuroxime
"Gonococcal Infection, Disseminated",cefpodoxime
"Gonococcal Infection, Disseminated",ofloxacin
"Gonococcal Infection, Disseminated",penicillin g potassium
"Gonococcal Infection, Disseminated",cefotaxime
"Gonococcal Infection, Disseminated",penicillin g sodium
"Gonococcal Infection, Uncomplicated",azithromycin
"Gonococcal Infection, Uncomplicated",ceftriaxone
"Gonococcal Infection, Uncomplicated",ciprofloxacin
"Gonococcal Infection, Uncomplicated",doxycycline
"Gonococcal Infection, Uncomplicated",cefixime
"Gonococcal Infection, Uncomplicated",levofloxacin
"Gonococcal Infection, Uncomplicated",cefuroxime
"Gonococcal Infection, Uncomplicated",tetracycline
Gout,allopurinol
Gout,febuxostat
Gout,probenecid
Gout,pegloticase
Gout,allopurinol / lesinurad
Gout,lesinurad
Gout,rilonacept
"Gout, Acute",colchicine
"Gout, Acute",indomethacin
"Gout, Acute",naproxen
"Gout, Acute",ibuprofen
"Gout, Acute",methylprednisolone
"Gout, Prophylaxis",colchicine
Gouty Arthritis,prednisone
Gouty Arthritis,colchicine / probenecid
Gouty Arthritis,dexamethasone
Gouty Arthritis,triamcinolone
Gouty Arthritis,betamethasone
Gouty Arthritis,probenecid
Gouty Arthritis,cortisone
Graft-versus-host disease,prednisone
Graft-versus-host disease,tacrolimus
Graft-versus-host disease,ibrutinib
Graft-versus-host disease,mycophenolate mofetil
Graft-versus-host disease,methotrexate
Graft-versus-host disease,cyclosporine
Graft-versus-host disease,ruxolitinib
Gram Negative Infection,colistimethate
Gram Negative Infection,penicillin g potassium
Gram Negative Infection,penicillin g sodium
Granuloma Annulare,fluocinonide
Granuloma Annulare,halobetasol
Granuloma Annulare,isotretinoin
Granuloma Inguinale,azithromycin
Granuloma Inguinale,doxycycline
Granuloma Inguinale,minocycline
Granuloma Inguinale,sulfamethoxazole / trimethoprim
Granuloma Inguinale,ciprofloxacin
Granulomatosis with Polyangiitis,azathioprine
Granulomatosis with Polyangiitis,rituximab
Granulomatosis with Polyangiitis,cyclophosphamide
Granulomatosis with Polyangiitis,etanercept
Tympanostomy Tube Placement Surgery,ciprofloxacin
Strep Throat (Streptococcal Pharyngitis),amoxicillin / clavulanate
Strep Throat (Streptococcal Pharyngitis),cefdinir
Strep Throat (Streptococcal Pharyngitis),clarithromycin
Strep Throat (Streptococcal Pharyngitis),erythromycin
Strep Throat (Streptococcal Pharyngitis),cefuroxime
Strep Throat (Streptococcal Pharyngitis),gemifloxacin
Growth Hormone Reserve Test,insulin regular
Growth Hormone Reserve Test,macimorelin
"Growth Retardation, Chronic Renal Failure",somatropin
GTP-CH Deficiency,carbidopa / levodopa
GTP-CH Deficiency,carbidopa
Mucopolysaccharidosis Type VII,vestronidase alfa
Gynecological Conditions,misoprostol
Swine Flu,oseltamivir
Swine Flu,zanamivir
Swine Flu,peramivir
Hereditary Angioedema,C1 esterase inhibitor (human)
Hereditary Angioedema,ecallantide
Hereditary Angioedema,icatibant
Hereditary Angioedema,conestat alfa
Hereditary Angioedema,lanadelumab
Hemophagocytic Lymphohistiocytosis,emapalumab
Haemophilus influenzae Prophylaxis,rifampin
Haemophilus influenzae Prophylaxis,haemophilus b conjugate (prp-t) vaccine
Haemophilus influenzae Prophylaxis,"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
Haemophilus influenzae Prophylaxis,"diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
Haemophilus influenzae Prophylaxis,haemophilus b conjugate (prp-omp) vaccine
Haemophilus influenzae Prophylaxis,"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Hangover,aspirin / caffeine
Hepatocellular Carcinoma,sorafenib
Hepatocellular Carcinoma,nivolumab
Hepatocellular Carcinoma,regorafenib
Hepatocellular Carcinoma,pembrolizumab
Hepatocellular Carcinoma,lenvatinib
Hepatocellular Carcinoma,cabozantinib
Hepatocellular Carcinoma,ramucirumab
Head and Neck Cancer,cetuximab
Head and Neck Cancer,methotrexate
Head and Neck Cancer,nivolumab
Head and Neck Cancer,pembrolizumab
Head and Neck Cancer,docetaxel
Head Imaging,ioversol
Head Imaging,iohexol
Head Lice,malathion
Head Lice,permethrin
Head Lice,piperonyl butoxide / pyrethrins
Head Lice,ivermectin
Head Lice,spinosad
Head Lice,benzyl alcohol
Head Lice,lindane
Head Lice,sodium chloride
Head Lice,acetic acid
Headache,ibuprofen
Headache,acetaminophen / butalbital / caffeine
Headache,naproxen
Headache,trazodone
Headache,aspirin / butalbital / caffeine
Headache,acetaminophen / butalbital / caffeine / codeine
Headache,acetaminophen / butalbital
Heart Attack (Myocardial Infarction),aspirin
Heart Attack (Myocardial Infarction),clopidogrel
Heart Attack (Myocardial Infarction),metoprolol
Heart Attack (Myocardial Infarction),lisinopril
Heart Attack (Myocardial Infarction),nitroglycerin
Heart Attack (Myocardial Infarction),ramipril
Heart Attack (Myocardial Infarction),warfarin
Heart Attack (Myocardial Infarction),atenolol
Heart Attack (Myocardial Infarction),enoxaparin
Heat Stress,electrolyte replacement solutions
Menorrhagia,tranexamic acid
Menorrhagia,dienogest / estradiol
Helicobacter Pylori Infection,omeprazole
Helicobacter Pylori Infection,clarithromycin
Helicobacter Pylori Infection,amoxicillin
Helicobacter Pylori Infection,metronidazole
Helicobacter Pylori Infection,amoxicillin / clarithromycin / lansoprazole
Helicobacter Pylori Infection,pantoprazole
Helicobacter Pylori Infection,tetracycline
Helicobacter Pylori Infection,bismuth subcitrate potassium / metronidazole / tetracycline
Helicobacter Pylori Infection,lansoprazole
Helicobacter Pylori Infection,bismuth subsalicylate
Helicobacter Pylori Infection,rabeprazole
Helicobacter Pylori Infection,amoxicillin / clarithromycin / omeprazole
Helicobacter Pylori Infection,esomeprazole
Hemochromatosis,deferasirox
Hemolytic Anemia,dexamethasone
Hemolytic Anemia,triamcinolone
Hemolytic Anemia,cortisone
Hemolytic Uremic Syndrome,eculizumab
Hemolytic Uremic Syndrome,ravulizumab
Hemophilia A,antihemophilic factor
Hemophilia A,desmopressin
Hemophilia A,tranexamic acid
Hemophilia A,anti-inhibitor coagulant complex
Hemophilia A,antihemophilic factor / von willebrand factor
Hemophilia A with Inhibitors,factor ix complex
Hemophilia A with Inhibitors,emicizumab
Hemophilia B,coagulation factor ix
Hemophilia B,factor ix complex
Hemophilia B,coagulation factor viia
Hemorrhagic Cystitis Prophylaxis,mesna
Hemorrhoids,hydrocortisone
Hemorrhoids,lidocaine
Hemorrhoids,hydrocortisone / pramoxine
Hemorrhoids,phenylephrine
Hemorrhoids,dibucaine
Hemorrhoids,hydrocortisone / lidocaine
Hemorrhoids,pramoxine
Hemosiderosis,deferasirox
Hemosiderosis,deferiprone
Hemostasis,fibrin sealant
Hemostasis,thrombin
Heparin Overdose,protamine
Hepatic Coma,neomycin
Hepatic Coma,paromomycin
Hepatic Encephalopathy,lactulose
Hepatic Encephalopathy,rifaximin
Hepatic Encephalopathy,neomycin
Hepatic Tumor,sorafenib
Hepatic Veno-Occlusive Disease,defibrotide
Hepatitis A,immune globulin intramuscular
Hepatitis A Prophylaxis,hepatitis a adult vaccine
Hepatitis A Prophylaxis,hepatitis a adult vaccine / hepatitis b adult vaccine
Hepatitis A Prophylaxis,hepatitis a pediatric vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b adult vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis a adult vaccine / hepatitis b adult vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),hepatitis b pediatric vaccine
Hepatitis B Prevention (Hepatitis B Prophylaxis),"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid"
Hepatitis B Prevention (Hepatitis B Prophylaxis),"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
Herbal Supplementation,bioflavonoids
Hereditary Orotic Aciduria,uridine
Hereditary Tyrosinemia Type 1,nitisinone
Hiatal Hernia,omeprazole
Hiatal Hernia,ranitidine
Hiatal Hernia,lansoprazole
Hiatal Hernia,famotidine
Hiatal Hernia,aluminum hydroxide / magnesium hydroxide / simethicone
Hiatal Hernia,aluminum hydroxide / magnesium trisilicate
Herniated Disk,naproxen
Herniated Disk,ibuprofen
Ramsay Hunt Syndrome,acyclovir
Ramsay Hunt Syndrome,prednisone
Ramsay Hunt Syndrome,valacyclovir
Herpes Simplex,acyclovir
Herpes Simplex,docosanol
Herpes Simplex,allantoin / camphor / phenol
Herpes Simplex,valacyclovir
Herpes Simplex Dendritic Keratitis,ganciclovir
Herpes Simplex Encephalitis,acyclovir
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",valacyclovir
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",acyclovir
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",famciclovir
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",valacyclovir
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",acyclovir
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",famciclovir
"Herpes Simplex, Mucocutaneous/Immunocompromised Host",foscarnet
"Herpes Simplex, Suppression",valacyclovir
"Herpes Simplex, Suppression",acyclovir
"Herpes Simplex, Suppression",famciclovir
Herpes Zoster,acyclovir
Herpes Zoster,valacyclovir
Herpes Zoster,famciclovir
Herpes Zoster,prednisone
Herpes Zoster Iridocyclitis,prednisone
"Herpes Zoster, Prophylaxis",zoster vaccine live
"Herpes Zoster, Prophylaxis","zoster vaccine, inactivated"
"Heterophyes heterophyes, Intestinal Fluke",praziquantel
"Heterotopic Ossification, Spinal Cord Injury",etidronate
"Heterotopic Ossification, Total Hip Arthroplasty",etidronate
Hiccups,chlorpromazine
Hiccups,baclofen
Hiccups,prochlorperazine
Hiccups,gabapentin
Hidradenitis Suppurativa,adalimumab
Hyperimmunoglobulin D Syndrome,canakinumab
High Risk Percutaneous Transluminal Angioplasty,allopurinol
High Risk Percutaneous Transluminal Angioplasty,abciximab
Hypertriglyceridemia,fenofibrate
Hypertriglyceridemia,omega-3 polyunsaturated fatty acids
Hypertriglyceridemia,fenofibric acid
Hypertriglyceridemia,icosapent
Hypertriglyceridemia,rosuvastatin
Hirsutism,spironolactone
Hirsutism,eflornithine
Hirsutism,flutamide
Hirsutism,leuprolide
Histiocytosis,vinblastine
Histiocytosis,cyclophosphamide
Histiocytosis,etanercept
Histoplasmosis,itraconazole
Histoplasmosis,fluconazole
Histoplasmosis,ketoconazole
Histoplasmosis,amphotericin b lipid complex
"Histoplasmosis, Immunocompenent Host",amphotericin b
"Histoplasmosis, Meningitis",amphotericin b
Urticaria,cetirizine
Urticaria,fexofenadine
Urticaria,loratadine
Urticaria,ranitidine
Urticaria,doxepin
Urticaria,levocetirizine
Urticaria,diphenhydramine
Urticaria,famotidine
Urticaria,promethazine
Urticaria,chlorpheniramine
Urticaria,omalizumab
Hot Flashes,venlafaxine
Hot Flashes,gabapentin
Hot Flashes,paroxetine
Hot Flashes,fluoxetine
Hot Flashes,esterified estrogens / methyltestosterone
Hot Flashes,citalopram
Hot Flashes,megestrol
Hot Flashes,duloxetine
Hot Flashes,mirtazapine
Hot Flashes,bazedoxifene / conjugated estrogens
Hot Flashes,desvenlafaxine
Human Papilloma Virus,imiquimod
Human Papilloma Virus,cimetidine
Human Papilloma Virus,podophyllum resin
Human Papilloma Virus,resorcinol
Human Papillomavirus Prophylaxis,human papillomavirus vaccine
Huntington's Disease,tetrabenazine
Huntington's Disease,baclofen
Huntington's Disease,deutetrabenazine
Mucopolysaccharidosis Type I,laronidase
Hydatid Disease,mebendazole
Hydatid Disease,albendazole
Hydrocephalus,acetazolamide
Hyperammonemia,sodium benzoate / sodium phenylacetate
Hyperammonemia,carglumic acid
Hypercalcemia,furosemide
Hypercalcemia,calcitonin
Hypercalcemia,pamidronate
Hypercalcemia of Malignancy,dexamethasone
Hypercalcemia of Malignancy,zoledronic acid
Hypercalcemia of Malignancy,prednisone
Hypercalcemia of Malignancy,cinacalcet
Hypercalcemia of Malignancy,pamidronate
Hypercalcemia of Malignancy,denosumab
Hypercalcemia of Malignancy,etidronate
Hypereosinophilic Syndrome,imatinib
Hyperhomocysteinemia,l-methylfolate
Hyperhomocysteinemia,multivitamin
Hyperkalemia,calcium gluconate
Hyperkalemia,sodium bicarbonate
Hyperkalemia,sodium polystyrene sulfonate
Hyperkalemia,patiromer
Hyperkalemia,insulin regular
Hyperkalemia,calcium chloride
Hyperkalemia,sodium zirconium cyclosilicate
Hyperkalemic Periodic Paralysis,dichlorphenamide
Hyperlipoproteinemia,fenofibrate
Hyperlipoproteinemia,atorvastatin
Hyperlipoproteinemia,pravastatin
Hyperlipoproteinemia,simvastatin
Hyperlipoproteinemia,gemfibrozil
Hyperlipoproteinemia,rosuvastatin
Hyperlipoproteinemia,colestipol
Hyperlipoproteinemia,niacin
Hyperlipoproteinemia,cholestyramine
Hyperlipoproteinemia,lovastatin
Hyperlipoproteinemia,colesevelam
Hypermagnesemia,calcium gluconate
Hypermagnesemia,calcium chloride
Hyperparathyroidism Secondary to Renal Impairment,calcifediol
Hyperparathyroidism Secondary to Renal Impairment,etelcalcetide
Hyperphosphatemia,calcium acetate
Hyperphosphatemia,aluminum hydroxide
Hyperphosphatemia of Renal Failure,sevelamer
Hyperphosphatemia of Renal Failure,sucralfate
Hyperphosphatemia of Renal Failure,lanthanum carbonate
Hyperphosphatemia of Renal Failure,ferric citrate
Hyperphosphatemia of Renal Failure,sucroferric oxyhydroxide
Hyperphosphatemia of Renal Failure,magnesium carbonate
Hyperprolactinemia,cabergoline
Hyperprolactinemia,bromocriptine
Hypertensive Emergency,clonidine
Hypertensive Emergency,hydralazine
Hypertensive Emergency,enalapril
Hypertensive Emergency,nifedipine
Hypertensive Emergency,captopril
Hypertensive Emergency,labetalol
Hypertensive Emergency,nitroprusside
Hypertensive Emergency,methyldopa
Hypertensive Emergency,diazoxide
Hypertensive Emergency,fenoldopam
Hypertensive Emergency,clevidipine
Hyperthyroidism,methimazole
Hyperthyroidism,propylthiouracil
Hyperthyroidism,potassium iodide
Hyperthyroidism,iodine / potassium iodide
Hyperthyroidism,sodium iodide-i-131
Hyperuricemia Secondary to Chemotherapy,allopurinol
Hyperuricemia Secondary to Chemotherapy,sodium bicarbonate
Hyperuricemia Secondary to Chemotherapy,rasburicase
Hypocalcemia,calcitriol
Hypocalcemia,calcium carbonate
Hypocalcemia,calcium gluconate
Hypocalcemia,ergocalciferol
Hypocalcemia,parathyroid hormone
Hypocalcemia,calcifediol
Hypocalcemia,calcium chloride
Hypocalcemia,calcium lactate
Hypocalcemia,"calcium phosphate, tribasic"
Hypodermoclysis,hyaluronidase
Hypoestrogenism,estradiol
Hypoestrogenism,conjugated estrogens
Hypoestrogenism,estradiol / norethindrone
Hypoestrogenism,estropipate
Hypoestrogenism,esterified estrogens
Hypoestrogenism,ethinyl estradiol
Hypoglycemia,glucagon
Hypoglycemia,diazoxide
"Hypogonadism, Male",testosterone
"Hypogonadism, Male",chorionic gonadotropin (hcg)
"Hypogonadism, Male",follicle stimulating hormone
"Hypogonadism, Male",methyltestosterone
Hypokalemia,potassium chloride
Hypokalemia,spironolactone
Hypokalemia,potassium gluconate
Hypokalemia,potassium bicarbonate
Hypokalemia,potassium bicarbonate / potassium chloride
Hypokalemic Periodic Paralysis,acetazolamide
Hypokalemic Periodic Paralysis,dichlorphenamide
Hypomagnesemia,magnesium oxide
Hypomagnesemia,magnesium sulfate
Hypomagnesemia,magnesium chloride
Hypomagnesemia,magnesium amino acids chelate
Hypomagnesemia,magnesium gluconate
Hypomagnesemia,magnesium carbonate
Mania,divalproex sodium
Mania,lithium
Mania,risperidone
Mania,haloperidol
Mania,allopurinol
Mania,chlorpromazine
Mania,valproic acid
Hyponatremia,tolvaptan
Hyponatremia,urea
Hyponatremia,sodium acetate
Hypoparathyroidism,calcitriol
Hypoparathyroidism,ergocalciferol
Hypoparathyroidism,parathyroid hormone
Hypoparathyroidism,teriparatide
Hypoparathyroidism,calcium lactate
Hypoparathyroidism,"calcium phosphate, tribasic"
Hypophosphatasia,asfotase alfa
Hypophosphatemia,potassium phosphate / sodium phosphate
Hypophosphatemia,ergocalciferol
Hypophosphatemia,potassium phosphate
Hypophosphatemia,sodium phosphate
Hypopituitarism,somatropin
Hypoproteinemia,albumin human
"Hypoprothrombinemia, Anticoagulant Induced",phytonadione
"Hypoprothrombinemia, Not Associated with Anticoagulant Therapy",phytonadione
"Hypoprothrombinemia, Prophylaxis",phytonadione
Hypotension,midodrine
Hypotension,norepinephrine
Hypotension,phenylephrine
Hypotension,ephedrine
Hypotension,droxidopa
Underactive Thyroid (Hypothyroidism),levothyroxine
Underactive Thyroid (Hypothyroidism),thyroid desiccated
Underactive Thyroid (Hypothyroidism),liothyronine
Underactive Thyroid (Hypothyroidism),liotrix
"Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy)",levothyroxine
"Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy)",thyroid desiccated
"Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy)",liothyronine
Respiratory Depression,doxapram
Hypovolemia,hetastarch
Hypovolemia,hydroxyethyl starch
Hysterectomy,piperacillin
Hysterosalpingography,iohexol
Inflammatory Bowel Disease,prednisone
Inflammatory Bowel Disease,budesonide
Inflammatory Bowel Disease,mesalamine
Inflammatory Bowel Disease,sulfasalazine
Inflammatory Bowel Disease,hydrocortisone
Inflammatory Bowel Disease,azathioprine
Inflammatory Bowel Disease,dexamethasone
Inflammatory Bowel Disease,mercaptopurine
Inflammatory Bowel Disease,infliximab
Inflammatory Bowel Disease,cyclosporine
Inflammatory Bowel Disease,corticotropin
Inflammatory Bowel Disease,cromolyn
Irritable Bowel Syndrome,dicyclomine
Irritable Bowel Syndrome,hyoscyamine
Irritable Bowel Syndrome,amitriptyline
Irritable Bowel Syndrome,chlordiazepoxide / clidinium
Irritable Bowel Syndrome,atropine / hyoscyamine / phenobarbital / scopolamine
Irritable Bowel Syndrome,cholestyramine
Irritable Bowel Syndrome,escitalopram
Irritable Bowel Syndrome,nortriptyline
Irritable Bowel Syndrome,psyllium
Irritable Bowel Syndrome,venlafaxine
ICU Agitation,haloperidol
ICU Agitation,midazolam
ICU Agitation,lorazepam
ICU Agitation,diazepam
Idiopathic Hypertrophic Subaortic Stenosis,verapamil
Idiopathic Pulmonary Fibrosis,pirfenidone
Idiopathic Pulmonary Fibrosis,nintedanib
Idiopathic Pulmonary Fibrosis,interferon gamma-1b
Idiopathic Short Stature,somatropin
Idiopathic Thrombocytopenic Purpura,prednisone
Idiopathic Thrombocytopenic Purpura,dexamethasone
Idiopathic Thrombocytopenic Purpura,eltrombopag
Idiopathic Thrombocytopenic Purpura,rituximab
Idiopathic Thrombocytopenic Purpura,romiplostim
Idiopathic Thrombocytopenic Purpura,cyclosporine
Idiopathic Thrombocytopenic Purpura,immune globulin intravenous
Idiopathic Thrombocytopenic Purpura,azathioprine
Idiopathic Thrombocytopenic Purpura,triamcinolone
Idiopathic Thrombocytopenic Purpura,rho (d) immune globulin
Idiopathic Thrombocytopenic Purpura,immune globulin intravenous and subcutaneous
Idiopathic Thrombocytopenic Purpura,interferon alfa-2b
Intermittent Explosive Disorder,fluoxetine
Intermittent Explosive Disorder,quetiapine
Intermittent Explosive Disorder,paroxetine
Intermittent Explosive Disorder,propranolol
Intermittent Explosive Disorder,lithium
Waldenström Macroglobulinemia,ibrutinib
Immunodeficiency,pegademase bovine
Immunosuppression,prednisone
Immunosuppression,prednisolone
Immunosuppression,methylprednisolone
Insulin Resistance Syndrome (Metabolic Syndrome),metformin
Insulin Resistance Syndrome (Metabolic Syndrome),insulin regular
Impetigo,mupirocin
Impetigo,cefadroxil
Impetigo,cefuroxime
Impetigo,retapamulin
Impetigo,sulconazole
Impetigo,ozenoxacin
Impetigo,ammoniated mercury
Inclusion Conjunctivitis,doxycycline
Infection Prophylaxis,sulfamethoxazole / trimethoprim
Infection Prophylaxis,ciprofloxacin
Infection Prophylaxis,ertapenem
Whipworm Infection,mebendazole
Whipworm Infection,albendazole
Inflammatory Conditions,meloxicam
Inflammatory Conditions,prednisone
Inflammatory Conditions,methylprednisolone
Inflammatory Conditions,prednisolone
Inflammatory Conditions,dexamethasone
Inflammatory Conditions,betamethasone
Inflammatory Conditions,hydrocortisone
Inflammatory Conditions,magnesium salicylate
Inflammatory Conditions,tolmetin
Influenza A,amantadine
Influenza A,rimantadine
Inhibition of Intraoperative Miosis,diclofenac
Inhibition of Intraoperative Miosis,flurbiprofen
Insect Bites,benzocaine
Insect Bites,pramoxine / zinc acetate
"Insomnia, Stimulant-Associated",clonidine
Insulinoma,octreotide
Intermittent Claudication,cilostazol
Intermittent Claudication,pentoxifylline
Interstitial Lung Disease,prednisone
Intertrigo,clotrimazole
Intertrigo,hydrocortisone
Intertrigo,miconazole
Intestinal Arterial Insufficiency,mercaptopurine
Intra- or Post-op SVT or Hypertension,esmolol
Intra-arterial Digital Subtraction Angiography,iodixanol
Intra-arterial Digital Subtraction Angiography,ioversol
Intra-arterial Digital Subtraction Angiography,iopromide
Intraabdominal Infection,meropenem
Intraabdominal Infection,ciprofloxacin
Intraabdominal Infection,metronidazole
Intraabdominal Infection,clindamycin
